Rank,City,Longitude,Latitude,Country,Total Score,Liked by members,Quality of life score,Family score,Community score,Cost,Internet,Fun,Temperature,Humidity,Air quality (annual),Safety,Food safety,Lack of crime,Lack of racism,Education level,Power grid,Vulnerability to climate change,Income level,English speaking,People density,Walkability,Peace,Traffic safety,Hospitals,Happiness,Nightlife,Free WiFi in city,Places to work from,A/C or heating,Friendly to foreigners,Freedom of speech,Female friendly,LGBTQ+ friendly,Startup Score,nomad score,cost,internet,liked,safety,Lifestyle and entertainment,Environmental Quality
1,Bangkok,100.5018,13.7563,Thailand,97.40%,67%,80%,60%,100%,100%,86%,80%,50%,54%,80%,80%,80%,80%,40%,60%,100%,30%,30%,20%,100%,100%,60%,40%,100%,80%,100%,100%,100%,100%,100%,60%,80%,80%,40%,97.4,"$1,321 / month- affordable",86Mbps (avg)- very fast,67%,80%,100%-Rich,62.50%
2,Tokyo,139.6917,35.6895,Japan,89.60%,100%,80%,60%,80%,70%,64%,100%,50%,53%,70%,100%,70%,100%,20%,80%,100%,45%,100%,40%,100%,100%,80%,60%,100%,60%,100%,40%,100%,100%,60%,78%,80%,80%,60%,89.6,"$3,015 / month- okay",64Mbps (avg)- fast,100%,100%,100%-Rich,60.80%
3,Buenos Aires,-58.3816,-34.6037,Argentina,89.60%,56%,80%,60%,97%,100%,78%,80%,64%,64%,80%,65%,100%,65%,80%,75%,100%,73%,23%,40%,60%,100%,60%,60%,100%,40%,100%,60%,100%,60%,80%,82%,60%,100%,56%,89.6,"$1,549 / month- affordable",78Mbps (avg)- fast,56%,65%,100%- Rich,72.00%
4,Hong Kong,114.1694,22.3193,China,83.80%,100%,90%,80%,79%,78%,87%,100%,82%,54%,54%,100%,84%,100%,40%,80%,100%,68%,100%,60%,95%,100%,55%,60%,100%,58%,100%,20%,100%,100%,60%,20%,60%,80%,60%,83.8,"$2,694 / month- okay",87Mbps (avg)- very fast,100%,100%,100%- Rich,61.00%
5,Seoul,126.978,37.5665,South Korea,83.00%,92%,87%,78%,82%,82%,87%,84%,83%,48%,48%,100%,79%,100%,57%,85%,100%,50%,100%,40%,30%,40%,60%,58%,100%,60%,100%,100%,100%,100%,80%,80%,100%,60%,58%,83,"$2,357 / month- affordable",87Mbps (avg)- very fast,92%,100%,100%- Rich,56.75%
6,Penang,100.3288,5.4141,Malaysia,83.00%,100%,80%,79%,80%,100%,32%,60%,47%,47%,67%,83%,83%,83%,85%,60%,100%,84%,30%,80%,100%,100%,83%,40%,85%,40%,80%,100%,82%,60%,100%,60%,100%,60%,59%,83,$960 / month- cheap,32Mbps (avg)- not good,100%,83%,80%- good,57.00%
7,Mexico City,-99.1332,19.4326,Mexico,82.40%,85%,64%,60%,80%,100%,65%,80%,30%,50%,80%,30%,83%,30%,40%,60%,100%,80%,30%,40%,80%,100%,40%,60%,80%,45%,83%,40%,100%,100%,80%,60%,63%,100%,45%,82.4,"$2,104 / month- affordable",65Mbps (avg)- fast,85%,30%,83%- good,60.00%
8,Chiang Mai,98.9853,18.7883,Thailand,82.20%,90%,64%,59%,80%,100%,64%,60%,39%,50%,50%,84%,30%,84%,40%,60%,100%,30%,30%,20%,100%,100%,55%,40%,96%,80%,40%,60%,100%,60%,60%,60%,80%,60%,40%,82.2,$964 / month- cheap,64Mbps (avg)- fast,90%,84%,40%- not bad,45.00%
9,Cape Town,18.4241,-33.9249,South Africa,81.60%,89%,80%,68%,80%,100%,90%,83%,80%,50%,50%,18%,50%,18%,60%,64%,30%,83%,17%,97%,100%,100%,46%,40%,80%,20%,82%,60%,100%,40%,82%,93%,60%,100%,60%,81.6,"$2,161 / month- affordable",90Mbps (avg)- very fast,89%,18%,82%- good,57.50%
10,Krakow,19.945,50.0647,Poland,81.60%,100%,82%,80%,81%,83%,42%,60%,84%,50%,40%,100%,80%,100%,40%,84%,100%,79%,37%,67%,100%,100%,76%,60%,97%,67%,64%,64%,100%,64%,64%,88%,40%,40%,60%,81.6,"$2,446 / month- affordable",42Mbps (avg)- not bad,100%,100%,64%- not bad,63.50%
11,London,-0.1278,51.5074,England,58.60%,67%,84%,84%,83%,15%,30%,100%,36%,50%,80%,80%,80%,80%,100%,85%,100%,50%,100%,100%,80%,100%,65%,60%,100%,40%,100%,40%,100%,83%,84%,86%,85%,100%,60%,58.6,"$5,686 / month- too high",30Mbps (avg)- not good,67%,80%,100%- Rich,61.50%
